player	age	yds_per_drive	dr_accuracy	dr_totl	greens_in_reg	putt_avg	save_pct	events	rounds	cuts	top10	earn	log_earn
Rickie Fowler	29	300.3	63.9	41	67.0	1.721	68.7	21	77	18	10	6083197.5	6.7841319
Luke Donald	40	278.5	56.5	178	61.9	1.750	64.4	18	49	7	1	958850.30	5.9817508
Rory McIlroy	28	317.2	55.1	1	65.6	1.772	63.2	14	48	12	6	2430182	6.3856388
Seung-yul Noh	26	298.5	53.1	52	65.6	1.764	61.9	31	88	15	3	1080706.3	6.0337077
Webb Simpson	32	286.5	66.3	142	65.5	1.763	61.5	28	99	23	6	3209646.3	6.5064572
Louis Oosthuizen	35	296.3	61.3	69	65.2	1.787	61.2	18	62	16	4	3105422	6.4921206
Adam Hadwin	30	291.3	63.2	108	65.1	1.753	61.1	28	98	21	5	3455012.3	6.5384496
Tim Wilkinson	39	279.5	65.7	173	64.0	1.760	61.1	22	59	10	0	411459.06	5.6143266
Tyrone van Aswegen	36	287.2	59.8	134	66.4	1.793	60.8	32	97	18	1	806410.06	5.9065559
Gary Woodland	33	307.6	59.3	13	69.5	1.807	60.7	26	90	22	5	2980225.5	6.4742491
Ian Poulter	42	283.5	62.6	159	64.5	1.778	59.3	20	68	15	2	2098346	6.3218771
Jon Rahm	23	305.8	58.7	20	68.6	1.761	59.1	23	83	21	11	6123247.5	6.7869818
Harris English	28	301.9	51.4	30	64.0	1.792	59.0	27	76	13	2	864959.30	5.9369957
Brian Harman	31	289.9	62.8	116	63.8	1.738	58.7	30	100	21	7	4396470	6.6431041
Aaron Baddeley	36	292.6	52.2	94	62.6	1.755	58.4	20	57	10	2	755356	5.8781517
Michael Thompson	32	284.8	61.7	154	63.7	1.788	58.2	21	57	8	1	568991.40	5.7551057
Tom Hoge	28	285.1	56.0	151	66.1	1.751	58.1	17	46	8	1	373092.03	5.5718160
Jimmy Walker	40	295.7	56.6	74	59.7	1.771	57.9	21	65	14	1	1101161.5	6.0418510
Steven Bowditch	34	287.3	45.4	133	53.5	1.845	57.8	N/A	N/A	N/A	N/A	N/A	N/A
Charl Schwartzel	33	299.1	54.3	47	61.8	1.763	57.6	18	60	14	3	2156035.8	6.3336560
Matt Kuchar	39	285.4	65.9	148	66.7	1.770	57.6	26	92	22	9	4282488.5	6.6316962
Geoff Ogilvy	40	286.5	62.6	142	65.5	1.804	57.5	25	72	13	1	867248.60	5.9381436
Bryce Molder	39	277.0	57.6	182	61.8	1.778	57.2	N/A	N/A	N/A	N/A	N/A	N/A
John Huh	27	287.1	64.1	136	65.8	1.790	57.2	28	88	17	2	767575.40	5.8851210
Matt Jones	37	302.6	57.1	28	63.1	1.778	57.1	20	56	10	0	510622.16	5.7080997
Brian Campbell	24	296.0	58.2	70	63.3	1.750	57.1	N/A	N/A	N/A	N/A	N/A	N/A
Zac Blair	--	272.7	69.7	188	64.7	1.778	56.3	32	100	20	1	788352.25	5.8967203
Brandt Snedeker	37	281.6	63.6	165	67.1	1.752	56.3	15	50	12	4	1625805.8	6.2110687
Nick Watney	36	300.9	55.7	35	66.4	1.807	56.1	23	69	13	1	824161.90	5.9160125
David Lingmerth	30	290.6	63.7	113	63.1	1.741	56.1	23	75	16	1	1070754.3	6.0296898
Justin Rose	37	300.9	58.3	35	68.1	1.770	55.9	18	65	15	8	4245308	6.6279092
Vaughn Taylor	41	282.4	68.3	161	66.7	1.759	55.8	26	85	18	0	797384.90	5.9016680
Jordan Spieth	24	295.6	60.0	75	70.0	1.711	55.8	23	78	19	12	9433033	6.9746514
Seamus Power	30	298.1	53.3	53	65.6	1.761	55.7	25	81	18	1	646180.50	5.8103538
David Hearn	38	281.0	66.8	167	64.7	1.794	55.3	29	85	15	2	800710	5.9034753
Wesley Bryan	--	279.8	57.9	172	60.5	1.748	55.3	28	91	18	5	2495750.8	6.3972012
Jonas Blixt	33	288.8	60.1	122	61.5	1.741	55.3	25	70	11	1	1408287.6	6.1486914
Hunter Mahan	35	294.5	63.4	79	64.6	1.802	55.2	N/A	N/A	N/A	N/A	N/A	N/A
Brandon Hagy	--	312.7	52.5	3	64.5	1.787	54.7	26	77	15	1	861226.80	5.9351175
Kevin Na	34	283.7	61.3	158	65.5	1.755	54.5	26	83	18	5	1728350.9	6.2376319
Pat Perez	41	290.9	62.0	112	66.2	1.754	54.5	26	91	22	6	4361400.5	6.6396260
Ollie Schniederjans	24	300.7	51.9	37	65.3	1.778	54.5	28	88	18	5	1935668.9	6.2868311
